Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS
1,Yes,No,Kenya,No,Employed part-time,Bachelor’s degree (BA  BS  B.Eng.  etc.),Mathematics or statistics,20 to 99 employees,Full-stack developer,3-5 years,3-5 years,Extremely satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,I’m not actively looking  but I am open to new opportunities,Less than a year ago,My job status or other personal status changed,NA,NA,Monthly,NA,KES,Slack,One to three months,Taught yourself a new language  framework  or tool without taking a formal course;Participated in a hackathon,The official documentation and/or standards for the technology;A book or e-book from O’Reilly  Apress  or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums  listservs  IRC channels  etc.),NA,To build my professional network,JavaScript;Python;HTML;CSS,JavaScript;Python;HTML;CSS,Redis;SQL Server;MySQL;PostgreSQL;Amazon RDS/Aurora;Microsoft Azure (Tables  CosmosDB  SQL  etc),Redis;SQL Server;MySQL;PostgreSQL;Amazon RDS/Aurora;Microsoft Azure (Tables  CosmosDB  SQL  etc),AWS;Azure;Linux;Firebase,AWS;Azure;Linux;Firebase,Django;React,Django;React,Komodo;Vim;Visual Studio Code,Linux-based,1,Agile;Scrum,Git,Multiple times per day,Yes,No,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Yes  and publicly,Upper management at the company/organization,Yes,Between 5:00 - 6:00 AM,9 - 12 hours,1 - 2 hours,Never,Standing desk,3 - 4 times per week,Male,Straight or heterosexual,Bachelor’s degree (BA  BS  B.Eng.  etc.),Black or of African descent,25 - 34 years old,Yes,NA
3,Yes,Yes,United Kingdom,No,Employed full-time,Bachelor’s degree (BA  BS  B.Eng.  etc.),A natural science (ex. biology  chemistry  physics),10 000 or more employees,Database administrator;DevOps specialist;Full-stack developer;System administrator,30 or more years,18-20 years,Moderately dissatisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,More than 4 years ago,I saw an employer’s advertisement,British pounds sterling (£),51000,Yearly,70841,GBP,Confluence;Office / productivity suite (Microsoft Office  Google Suite  etc.);Slack;Other wiki tool (Github  Google Sites  proprietary software  etc.),One to three months,Taught yourself a new language  framework  or tool without taking a formal course;Contributed to open source software,The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,NA,NA,JavaScript;Python;Bash/Shell,Go;Python,Redis;PostgreSQL;Memcached,PostgreSQL,Linux,Linux,Django,React,IPython / Jupyter;Sublime Text;Vim,Linux-based,2,NA,Git;Subversion,A few times per week,Yes,Yes,Increasing automation of jobs,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,5 - 8 hours,30 - 59 minutes,Never,Ergonomic keyboard or mouse,Daily or almost every day,Male,Straight or heterosexual,Bachelor’s degree (BA  BS  B.Eng.  etc.),White or of European descent,35 - 44 years old,Yes,NA
4,Yes,Yes,United States,No,Employed full-time,Associate degree,Computer science  computer engineering  or software engineering,20 to 99 employees,Engineering manager;Full-stack developer,24-26 years,6-8 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,I’m not actively looking  but I am open to new opportunities,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,No,No,United States,No,Employed full-time,Bachelor’s degree (BA  BS  B.Eng.  etc.),Computer science  computer engineering  or software engineering,100 to 499 employees,Full-stack developer,18-20 years,12-14 years,Neither satisfied nor dissatisfied,Slightly dissatisfied,Working as a founder or co-founder of my own company,I’m not actively looking  but I am open to new opportunities,Less than a year ago,A recruiter contacted me,U.S. dollars ($),NA,NA,NA,NA,NA,Three to six months,Completed an industry certification program (e.g. MCPD);Taught yourself a new language  framework  or tool without taking a formal course,The official documentation and/or standards for the technology;A book or e-book from O’Reilly  Apress  or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system,NA,NA,C#;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,C#;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,SQL Server;Microsoft Azure (Tables  CosmosDB  SQL  etc),SQL Server;Microsoft Azure (Tables  CosmosDB  SQL  etc),Azure,Azure,NA,Angular;.NET Core;React,Visual Studio;Visual Studio Code,Windows,2,Agile;Kanban;Scrum,Git,Multiple times per day,Yes,Yes,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I don't care about it  or I haven't thought about it.,No,Yes  but only within the company,Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,Less than 30 minutes,3 - 4 times per week,NA,I don't typically exercise,Male,Straight or heterosexual,Some college/university study without earning a degree,White or of European descent,35 - 44 years old,No,No
7,Yes,No,South Africa,Yes  part-time,Employed full-time,Some college/university study without earning a degree,Computer science  computer engineering  or software engineering,10 000 or more employees,Data or business analyst;Desktop or enterprise applications developer;Game or graphics developer;QA or test developer;Student,6-8 years,0-2 years,Slightly satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,I’m not actively looking  but I am open to new opportunities,Between 1 and 2 years ago,My job status or other personal status changed,South African rands (R),260000,Yearly,21426,ZAR,Office / productivity suite (Microsoft Office  Google Suite  etc.),Three to six months,Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language  framework  or tool without taking a formal course,The official documentation and/or standards for the technology;A book or e-book from O’Reilly  Apress  or a similar publisher;Questions & answers on Stack Overflow,NA,NA,C;C++;Java;Matlab;R;SQL;Bash/Shell,Assembly;C;C++;Matlab;SQL;Bash/Shell,SQL Server;PostgreSQL;Oracle;IBM Db2,PostgreSQL;Oracle;IBM Db2,Arduino;Windows Desktop or Server,Arduino;Windows Desktop or Server,NA,NA,Notepad++;Visual Studio;Visual Studio Code,Windows,2,Evidence-based software engineering;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies),Zip file back-ups,Weekly or a few times per month,No,NA,Algorithms making important decisions,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Yes  but only within the company,Upper management at the company/organization,Yes,Before 5:00 AM,Over 12 hours,1 - 2 hours,Never,NA,3 - 4 times per week,Male,Straight or heterosexual,Some college/university study without earning a degree,White or of European descent,18 - 24 years old,Yes,NA
8,Yes,No,United Kingdom,No,Employed full-time,Bachelor’s degree (BA  BS  B.Eng.  etc.),Computer science  computer engineering  or software engineering,10 to 19 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer,6-8 years,3-5 years,Moderately satisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Between 2 and 4 years ago,I did not receive an expected change in compensation,British pounds sterling (£),30000,NA,41671,GBP,Confluence;Jira;Office / productivity suite (Microsoft Office  Google Suite  etc.);Other chat system (IRC  proprietary software  etc.),Less than a month,Received on-the-job training in software development;Taught yourself a new language  framework  or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank  CodeChef  TopCoder),The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums  listservs  IRC channels  etc.),NA,To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language  framework  or other technology;Because I find it enjoyable,Java;JavaScript;Python;TypeScript;HTML;CSS,C#;Go;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS,MongoDB,PostgreSQL,Linux,Linux,Angular;Node.js,Node.js,IntelliJ;PyCharm;Visual Studio Code,Linux-based,2,Agile,Git,A few times per week,Yes,Yes,Increasing automation of jobs,Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,NA,1 - 2 times per week,Male,Straight or heterosexual,Secondary school (e.g. American high school  German Realschule or Gymnasium  etc.),White or of European descent,18 - 24 years old,No,NA
9,Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,Computer science  computer engineering  or software engineering,10 000 or more employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,0-2 years,Slightly satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,I’m not actively looking  but I am open to new opportunities,Less than a year ago,My job status or other personal status changed,U.S. dollars ($),120000,Yearly,120000,USD,Confluence;Office / productivity suite (Microsoft Office  Google Suite  etc.);Stack Overflow Enterprise;Other chat system (IRC  proprietary software  etc.);Other wiki tool (Github  Google Sites  proprietary software  etc.),Six to nine months,Received on-the-job training in software development;Taught yourself a new language  framework  or tool without taking a formal course,The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums  listservs  IRC channels  etc.),NA,NA,JavaScript;HTML;CSS,C;Go;JavaScript;Python;HTML;CSS,MongoDB,NA,Linux,Linux,Node.js;React,React;TensorFlow,Atom;Visual Studio Code,MacOS,2,Agile;Scrum,Git,Multiple times per day,Yes,Yes,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Yes  but only within the company,Upper management at the company/organization,Yes,Between 9:01 - 10:00 AM,Over 12 hours,Less than 30 minutes,1 - 2 times per week,NA,I don't typically exercise,Male,Straight or heterosexual,Master’s degree (MA  MS  M.Eng.  MBA  etc.),White or of European descent,18 - 24 years old,No,No
10,Yes,Yes,Nigeria,No,Employed full-time,Bachelor’s degree (BA  BS  B.Eng.  etc.),Computer science  computer engineering  or software engineering,10 to 19 employees,Designer;Front-end developer;QA or test developer,0-2 years,3-5 years,Slightly satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,I’m not actively looking  but I am open to new opportunities,Less than a year ago,I saw an employer’s advertisement,NA,NA,NA,NA,NA,Facebook;Google Hangouts/Chat;Office / productivity suite (Microsoft Office  Google Suite  etc.);Slack;Trello;Other wiki tool (Github  Google Sites  proprietary software  etc.),One to three months,Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Participated in online coding competitions (e.g. HackerRank  CodeChef  TopCoder);Contributed to open source software,NA,Immediately after graduating,To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language  framework  or other technology;To improve my ability to work on a team with other programmers;Because I find it enjoyable,JavaScript;TypeScript;HTML;CSS,Matlab;SQL;Kotlin;Bash/Shell,MongoDB;MySQL;Microsoft Azure (Tables  CosmosDB  SQL  etc);Google Cloud Storage,NA,Azure;Heroku,Amazon Echo;Android;Apple Watch or Apple TV;AWS;Google Cloud Platform/App Engine;Google Home;iOS;WordPress;Firebase,Angular;Node.js,.NET Core;Django,Atom;Notepad++;Sublime Text;Visual Studio Code,Windows,1,Agile;Extreme programming (XP);Scrum,Git,Multiple times per day,Yes,No,"Artificial intelligence surpassing human intelligence (""the singularity"")","Evolving definitions of ""fairness"" in algorithmic versus human decisions",NA,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Yes  but only within the company,The developer who wrote it,Yes,I do not have a set schedule,Over 12 hours,1 - 2 hours,Daily or almost every day,NA,1 - 2 times per week,Female,NA,Primary/elementary school,Black or of African descent,25 - 34 years old,No,NA
11,Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,Fine arts or performing arts (ex. graphic design  music  studio art),100 to 499 employees,Back-end developer;C-suite executive (CEO  CTO  etc.);Data or business analyst;Database administrator;DevOps specialist;Engineering manager;Full-stack developer;System administrator,30 or more years,21-23 years,Moderately satisfied,Moderately satisfied,Doing the same work,I’m not actively looking  but I am open to new opportunities,Between 2 and 4 years ago,My job status or other personal status changed,U.S. dollars ($),250000,Yearly,250000,USD,Confluence;HipChat;Jira;Office / productivity suite (Microsoft Office  Google Suite  etc.),Three to six months,Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language  framework  or tool without taking a formal course;Participated in a hackathon;Contributed to open source software,The official documentation and/or standards for the technology;A book or e-book from O’Reilly  Apress  or a similar publisher;A college/university computer science or software engineering book;Online developer communities other than Stack Overflow (ex. forums  listservs  IRC channels  etc.);Tapping your network of friends  family  and peers versed in the technology;The technology’s online help system,NA,Because I find it enjoyable,Assembly;CoffeeScript;Erlang;Go;JavaScript;Lua;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Erlang;Go;Python;Rust;SQL,Redis;PostgreSQL;Amazon DynamoDB;Apache HBase;Apache Hive;Amazon Redshift;Amazon RDS/Aurora;Elasticsearch,Redis;PostgreSQL;Amazon DynamoDB;Apache Hive;Amazon RDS/Aurora;Neo4j,Amazon Echo;AWS;iOS;Linux;Mac OS;Serverless,AWS;Linux;Mac OS;Serverless,Hadoop;Node.js;React;Spark,NA,IntelliJ;PyCharm;Sublime Text;Vim,MacOS,1,Agile;Evidence-based software engineering;Extreme programming (XP);Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Kanban;Lean;Pair programming;Scrum,Git,Multiple times per day,No,NA,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,Yes  and publicly,The person who came up with the idea,Yes,Between 8:01 - 9:00 AM,9 - 12 hours,Less than 30 minutes,1 - 2 times per week,Standing desk;Fatigue-relieving floor mat,I don't typically exercise,Male,Straight or heterosexual,Some college/university study without earning a degree,White or of European descent,35 - 44 years old,Yes,No
16,No,Yes,India,No,Employed full-time,Bachelor’s degree (BA  BS  B.Eng.  etc.),Computer science  computer engineering  or software engineering,500 to 999 employees,Designer,0-2 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
